date	rsi	close	close_target	close_target_3	close_target_5	rsi_target	rsi_target_3	rsi_target_5
2023-07-12	67.18	4472.16	4427.44	4338	4248.55	NA	NA	NA
2023-07-13	70.73	4510.04	4464.94	4374.74	4284.54	NA	NA	NA
2023-07-14	69.74	4505.42	4460.37	4370.26	4280.15	NA	NA	NA
2023-07-17	71.36	4522.79	4477.56	4387.11	4296.65	NA	NA	NA
2023-07-18	74.13	4554.98	4509.43	4418.33	4327.23	NA	NA	NA
2023-07-19	75	4565.72	4520.06	4428.75	4337.43	NA	NA	NA
2023-07-20	67.94	4534.87	4489.52	4398.82	4308.13	NA	NA	NA
2023-07-21	68.09	4536.34	4490.98	4400.25	4309.52	NA	NA	NA
2023-07-24	70.03	4554.64	4509.09	4418	4326.91	NA	NA	NA
2023-07-25	71.34	4567.46	4521.79	4430.44	4339.09	NA	NA	NA
2023-07-26	71.15	4566.75	4521.08	4429.75	4338.41	NA	NA	NA
2023-07-27	63.78	4537.41	4492.04	4401.29	4310.54	NA	NA	NA
2023-07-28	69.05	4582.23	4536.41	4444.76	4353.12	NA	NA	NA
2023-07-31	69.76	4588.96	4543.07	4451.29	4359.51	NA	NA	NA
2023-08-01	66.76	4576.73	4530.96	4439.43	4347.89	NA	NA	NA
2023-08-02	53.82	4513.39	4468.26	4377.99	4287.72	NA	NA	NA
2023-08-03	51.86	4501.89	4456.87	4366.83	4276.8	NA	NA	NA
2023-08-04	47.95	4478.03	4433.25	4343.69	4254.13	NA	NA	NA
2023-08-07	54.24	4518.44	4473.26	4382.89	4292.52	NA	NA	NA
2023-08-08	51.1	4499.38	4454.39	4364.4	4274.41	44.5479058497403	35.4537477088546	29.4431290941845
