date	rsi	close	close_target	close_target_3	close_target_5	rsi_target	rsi_target_3	rsi_target_5
2023-07-05	67.35	58.08	57.5	56.34	55.18	NA	NA	NA
2023-07-06	60.06	57.15	56.58	55.44	54.29	NA	NA	NA
2023-07-07	57.95	56.86	56.29	55.15	54.02	NA	NA	NA
2023-07-10	59.38	57.13	56.56	55.42	54.27	NA	NA	NA
2023-07-11	63.04	57.86	57.28	56.12	54.97	NA	NA	NA
2023-07-12	67.06	58.78	58.19	57.02	55.84	NA	NA	NA
2023-07-13	70.31	59.64	59.04	57.85	56.66	NA	NA	NA
2023-07-14	69.71	59.57	58.97	57.78	56.59	NA	NA	NA
2023-07-17	71.23	59.97	59.37	58.17	56.97	NA	NA	NA
2023-07-18	74.25	60.84	60.23	59.01	57.8	NA	NA	NA
2023-07-19	75.06	61.09	60.48	59.26	58.04	NA	NA	NA
2023-07-20	67.55	60.27	59.67	58.46	57.26	NA	NA	NA
2023-07-21	67.59	60.28	59.68	58.47	57.27	NA	NA	NA
2023-07-24	69.77	60.79	60.18	58.97	57.75	NA	NA	NA
2023-07-25	71.16	61.13	60.52	59.3	58.07	NA	NA	NA
2023-07-26	71.16	61.13	60.52	59.3	58.07	NA	NA	NA
2023-07-27	62.86	60.29	59.69	58.48	57.28	NA	NA	NA
2023-07-28	68.27	61.43	60.82	59.59	58.36	NA	NA	NA
2023-07-31	69.37	61.69	61.07	59.84	58.61	NA	NA	NA
2023-08-01	65.61	61.29	60.68	59.45	58.23	60.2562354108388	51.7395014201277	45.3778518824768
