date	rsi	close	close_target	close_target_3	close_target_5	rsi_target	rsi_target_3	rsi_target_5
2023-07-06	58.78	218.31	216.13	211.76	207.39	NA	NA	NA
2023-07-07	57.86	218.04	215.86	211.5	207.14	NA	NA	NA
2023-07-10	60.22	218.99	216.8	212.42	208.04	NA	NA	NA
2023-07-11	64.15	220.71	218.5	214.09	209.67	NA	NA	NA
2023-07-12	67.54	222.4	220.18	215.73	211.28	NA	NA	NA
2023-07-13	70.84	224.28	222.04	217.55	213.07	NA	NA	NA
2023-07-14	69.5	223.95	221.71	217.23	212.75	NA	NA	NA
2023-07-17	71.02	224.8	222.55	218.06	213.56	NA	NA	NA
2023-07-18	73.96	226.59	224.32	219.79	215.26	NA	NA	NA
2023-07-19	74.86	227.18	224.91	220.36	215.82	NA	NA	NA
2023-07-20	67.81	225.54	223.28	218.77	214.26	NA	NA	NA
2023-07-21	67.73	225.52	223.26	218.75	214.24	NA	NA	NA
2023-07-24	69.36	226.32	224.06	219.53	215	NA	NA	NA
2023-07-25	70.5	226.89	224.62	220.08	215.55	NA	NA	NA
2023-07-26	70.85	227.06	224.79	220.25	215.71	NA	NA	NA
2023-07-27	62.63	225.31	223.06	218.55	214.04	NA	NA	NA
2023-07-28	68	227.66	225.38	220.83	216.28	NA	NA	NA
2023-07-31	69.39	228.35	226.07	221.5	216.93	NA	NA	NA
2023-08-01	66.59	227.73	225.45	220.9	216.34	NA	NA	NA
2023-08-02	54.29	224.5	222.26	217.76	213.27	47.7128641205422	38.3705608832085	32.0993846362326
